
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.29', 'CD37[0.00,0.00,0.00]=0.00', 'le_us=5889', 'est[0.25,0.38,0.02,56]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.30', 'CD37[0.00,0.00,0.00]=0.24', 'le_us=5249', 'est[0.25,0.40,0.05,40]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.29', '592F[0.50,0.00,0.00]=0.23', 'le_us=5432', 'est[0.20,0.38,-0.04,42]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.24', '592F[0.50,0.00,0.00]=0.31', 'le_us=5310', 'est[0.22,0.40,-0.07,40]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.00', '592F[0.50,0.00,0.00]=0.30', 'le_us=6164', 'est[0.22,0.36,-0.10,56]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.25', '592F[0.50,0.00,0.00]=0.25', 'le_us=5279', 'est[0.23,0.39,-0.04,47]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.27', '592F[0.50,0.00,0.00]=0.23', 'le_us=5249', 'est[0.23,0.40,-0.07,42]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.00', '592F[0.50,0.00,0.00]=0.27', 'le_us=5828', 'est[0.24,0.36,-0.10,56]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.26', '592F[0.50,0.00,0.00]=0.26', 'le_us=5157', 'est[0.24,0.39,-0.03,45]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.00', '592F[0.50,0.00,0.00]=0.28', 'le_us=6256', 'est[0.24,0.35,-0.07,56]']"
